Z,I,P,Q,V,state
0.21,2.92772335021665,1,2.5,0.919684711114526,USS
0.215,2.90783026509245,1,2.5,0.925976469772263,USS
0.22,2.88906174089107,0.999999999999999,2.5,0.931991990845023,USS
0.225,2.87132881062625,0.999999999999998,2.5,0.937747844692155,USS
0.23,2.85455144426068,0.999999999999998,2.50000000000001,0.943259372319573,USS
0.235,2.83865746689456,1,2.5,0.948540792599709,USS
0.24,2.82358162965312,1,2.5,0.953605298777224,USS
0.245,2.80926480870669,1,2.5,0.958465145479411,USS
0.25,2.79565331228648,1,2.5,0.963131727290274,USS
0.255,2.78269827910433,1,2.5,0.967615649812354,USS
0.26,2.77035515444068,1,2.5,0.971926794025393,USS
0.265,2.75858323247694,1,2.5,0.976074374652663,USS
0.27,2.74734525533051,0.999999999999999,2.5,0.980066993161123,USS
0.275,2.73660706078998,1,2.5,0.98391268594841,USS
0.28,2.72633727201262,1,2.5,0.987618968206215,USS
0.285,2.7165070234905,0.999999999999998,2.5,0.991192873894171,USS
0.29,2.70708971845629,1,2.5,0.994640992210149,USS
0.295,2.69806081361999,1,2.5,0.997969500900393,USS
0.3,2.68939762772904,1,2.5,1.00118419671579,USS
0.305,2.68107917094809,1,2.5,1.00429052328772,USS
0.31,2.67308599247904,1,2.5,1.00729359666807,USS
0.315,2.6654000441997,0.999999999999997,2.5,1.01019822875246,USS
0.32,2.65800455840216,1.00000000000001,2.5,1.01300894878295,USS
0.325,2.65088393796991,0.999999999999998,2.5,1.01573002310666,USS
0.33,2.64402365755125,1,2.5,1.01836547334867,USS
0.335,2.63741017447432,1,2.5,1.02091909314179,USS
0.34,2.63103084830913,1,2.5,1.0233944635418,USS
0.345,2.62487386811987,0.999999999999996,2.5,1.02579496724384,USS
0.35,2.61892818656935,1,2.5,1.02812380170469,USS
0.355,2.6131834601395,1,2.50000000000001,1.0303839912654,USS
0.36,2.60762999482086,1,2.5,1.03257839835986,USS
0.365,2.60225869670027,1,2.5,1.03470973388676,USS
0.37,2.59706102694304,1,2.5,1.03678056681504,USS
0.375,2.59202896072357,0.999999999999996,2.5,1.03879333308668,USS
0.38,2.58715494970957,1,2.49999999999999,1.04075034387465,USS
0.385,2.58243188774883,1,2.5,1.04265379324852,USS
0.39,2.57785307944667,1,2.5,1.04450576529568,USS
0.395,2.5734122113561,0.999999999999997,2.5,1.04630824074172,USS
0.4,2.56910332553276,0.999999999999995,2.5,1.04806310310968,USS
0.405,2.56492079523295,0.999999999999998,2.5,1.04977214445435,USS
0.41,2.5608593025565,1,2.5,1.05143707070484,USS
0.415,2.55691381785687,0.999999999999999,2.5,1.05305950664544,USS
0.42,2.55307958075865,0.999999999999995,2.5,1.0546410005626,USS
0.425,2.54935208263947,0.999999999999999,2.49999999999999,1.05618302858328,USS
0.43,2.545727050447,0.999999999999999,2.5,1.05768699872772,USS
0.435,2.54220043173486,0.999999999999999,2.49999999999999,1.05915425469807,USS
0.44,2.5387683808127,0.999999999999998,2.50000000000001,1.06058607942223,USS
0.445,2.53542724591525,0.999999999999997,2.5,1.06198369837083,USS
0.45,2.53217355730515,0.999999999999999,2.5,1.06334828266386,USS
0.455,2.5290040162314,1,2.5,1.06468095198188,USS
0.46,2.52591548467346,1,2.49999999999999,1.06598277729603,USS
0.465,2.5229049758068,0.999999999999999,2.5,1.06725478342925,USS
0.47,2.51996964513203,0.999999999999998,2.5,1.06849795146091,USS
0.475,2.51710678221469,0.999999999999998,2.5,1.06971322098547,USS
0.48,2.51431380298773,0.999999999999997,2.5,1.07090149223525,USS
0.485,2.51158824257261,1.00000000000001,2.5,1.07206362807673,USS
0.49,2.5089277485793,1,2.5,1.07320045588875,USS
0.495,2.50633007484845,0.999999999999999,2.5,1.0743127693307,USS
