,p,q,err
125,-0.97,0.740000000000002,0.00322891968448192
126,-0.97,0.770000000000002,0.00527080498777415
127,-0.97,0.800000000000002,0.00760418941107609
128,-0.97,0.830000000000002,0.0102550898630053
129,-0.97,0.860000000000002,0.0132504603981673
130,-0.97,0.890000000000002,0.0166181806054998
131,-0.97,0.920000000000002,0.0203870441818546
132,-0.97,0.950000000000002,0.0245867476937026
133,-0.97,0.980000000000002,0.029247879524135
134,-0.94,-1,0.0670836377564957
135,-0.94,-0.97,0.0574647616514681
136,-0.94,-0.94,0.0487457038884737
137,-0.94,-0.91,0.0408691857216755
138,-0.94,-0.88,0.0337800631253964
139,-0.94,-0.85,0.0274252926734106
140,-0.94,-0.82,0.0217538981065243
141,-0.94,-0.79,0.0167169375828444
142,-0.94,-0.76,0.0122674715846192
